description,title,price,stocks
"Make grilling great with this handsome and functional grill gazebo. This grill gazebo is a great gift to anyone who loves to grill, yourself included! Providing shade and protection from harmful UV rays, rain, and debris this grill gazebo will help keep your grill looking great and keep you cool when grilling in the hot summer sun. This grill gazebo comes with a rich brown canopy and black frame. Its 8 foot width means that you can easily fit most size grills beneath, and standing at 8 feet tall even the tallest grill afficionado will fit beneath comfortably! Upgrade your grilling today with the addition of this stunning grill gazebo!Vented canopyBuilt in lattice work is great for holding grill accessories2 built in tile shelvesVersatile design will coordinate easilyDurable, powder coated finishLow maintenance, easy to clean",Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo,8999.0,21
"The MD Building Products 36 in. x 36 in. x 1/50 in. Aluminum Cloverleaf Natural Sheet with mill finish is lightweight, strong and rust resistant, making it suitable for a variety of home repair projects. Easy to cut or form, it features a stylish cloverleaf design.Use to repair door or window screens, or add stylish accents to room dividers and cabinet frontsLightweight and sturdy constructionEasy to cut and formRust resistant36 in. x 36 in. x 1/50 in.Mill aluminum finishStylish cloverleaf design","MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",450.0,21
"The House of Fara 8 Linear ft. primed MDF Overlapping Wainscot Paneling will help you create an 8 linear ft. section of wainscot with chair rail and base moulding. Paint this easy to install primed paneling to complement your decor. Its unique detail will add an architectural touch to any room or project.California residents: see&nbsp;Proposition 65 informationMDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panelsOverlapping wainscotPrimed and ready to be painted to your preferenceEasy to install instructions includedKit includes chair rail and base moulding",House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,850.0,28
"Installed in parks and backyards across the globe, Rain Bird's 1800 Series is the #1 selling commercial-grade pop-up sprinkler in the world. Chosen for its reliability, heavy-duty materials and versatility, the 1800 Series offers a broad selection of spray heads for watering shrubs, small lawns and irregularly shaped planting areas. Precision spray heads and nozzles customize your watering system to cover virtually any configuration of lawn or garden - not the sidewalk or driveway. The 1800 Series offers Rain Bird's patented pop-up mechanism for out-of-sight retraction into the lawn when not in operation. A wide choice of nozzles provides full circle, partial circle coverage or infinite pattern adjustment for optimum head-to-head coverage.Spray distance from 8 ft. to 15 ft.Patented close-in watering for most efficient uniform water coverage, resulting in the elimination of dry brown spotsHeavy-duty stainless-steel spring helps ensure flush retractionPop-up sprinkler head features a top-adjustment screw to adjust the spray distance4 in pop-up heightDual spray technology for water efficiencyReduces water waste in windy conditionsNote: Product may vary by store.",1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,1450.0,21
"The Samsung 4.2 cu. ft. Front Load Washer with Steam in White is a high-efficiency ENERGY STAR/CEE Tier 3-rated washer. It's equipped with vibration-reduction technology and cleans your toughest stains. It has the capacity to wash a king size comforter, and the stainless steel diamond drum is gentler on clothes than traditional washers, while the Pure Cycle keeps the drum fresh. It offers flexibility with nine cycles and was constructed with premium materials and backed by a 10-year manufacturer warranty on the motor.4.2 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry roomStainless steel diamond drum won't rust or damage clothingSanitizing cycle for a cleaner wash ensures the right water temperature and activates the NSF sanitize cycle for 99.9% bacteria-free laundrySteam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stainsFeatures nine cycles: eco wash, normal, heavy duty, permanent press, sanitize, bedding, deep steam, delicates and woolENERGY STAR- and CEE Tier 3-ratedElectronic controls provide easy 1-touch operation and cycle display timePreset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best resultsAutomatic water level adjustment helps save on energy costsDelay start feature begins operation when it's most convenient for your scheduleVibration-reduction technology with special sensors keep the drum balanced, so you hardly know the washer is onErgonomic front-load design makes loading and unloading simple and easyStackable design provides all-in-1 vertical look to maximize floor spacePedestal shown in product image is not included with purchase and is offered separately during appliance checkoutCan only be used with high-efficiency detergent, typically two tablespoons per loadPlease note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.Click here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances","Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",48000.0,22
"Quikrete 80 lb. Crack-Resistant Concrete is designed to significantly reduce the amount of cracking caused by drying shrinkage. This concrete is ideal for driveways, walkways, floors, sidewalks and patios. The special blend of cement, sand, gravel, fibers and admixtures makes this the perfect concrete for both the professional and novice user who wants to tackle a concrete project.Designed to be used in slab-on-grade applications without the use of wire meshReduces the amount of cracking caused by drying shrinkageOffers superior workabilityProvides superior impact resistance4,000 PSI concrete mixNote: Product may vary by store",Quikrete 80 lb. Crack-Resistant Concrete,1800.0,12
"Our 10 ft. x 10 ft. (100 sq. ft.) Yorkstone patio is uniquely designed in a basketweave pattern. Add this beautiful addition to your backyard and get the expensive natural stone look at a fraction of the price. Its an entire 10 ft. x 10 ft. patio on one pallet.Beautiful color blend with a natural stone textureIncludes two different sized patio blocks, 12 in. x 24 in. and 24 in. x 24 in.Printed pattern included in each pallet for an easy installation visualUse to make a basket weave style walkwayPurchase multiple patios and install around your in-ground pool or make a larger outdoor living spaceFor installing around steps or flower-beds just use a wet masonry saw blade to cut and fit",Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver,25000.0,23
"The UltraTouch 48 in. x 24 ft. Radiant Barrier is easy to use and install and is made from recycled natural fibers. The radiant barrier provides excellent thermal and acoustical insulation, reflecting up to 97% of radiant energy for excellent savings on heating and cooling costs.Reflects up to 97% of radiant energy, reducing heating and cooling costsEasy to use and installRecycled natural-fiber padding is durableBlanket-type, foil-faced insulation is lightweight and versatileExcellent acoustical performanceClass-A or Class-1 fire rating",UltraTouch 48 in. x 24 ft. Radiant Barrier,4500.0,13
"Reed fencing is a convenient and cost effective way to add texture and a dynamic aesthetic to your home and garden. This fencing is constructed from fresh water reed that grows abundantly along river banks, wetlands, and estuaries. The pre-assembled panels are carefully woven together by vinyl coated wire to ensure durability while remaining seamless. This lightweight material is perfect for easily covering unsightly structures such as old fencing, or it can add a tropical aesthetic to your landscape or pool area. Using reed fencing as a screen can also aid in enhancing privacy for your home and garden. Using renewable resources is an excellent way to aid in preserving our environment, the abundant growth rate of fresh water reed makes it an eco-friendly option.Fresh water reed has a rapid growth rate which makes it an eco-friendly optionEfficiently create a privacy screen for your home and yardProduct measures 1/8 in. Dia x 6 ft. high x 16 ft. longEasily connect additional panels by tying them together with wire",Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing,1800.0,27
"Achieving a vintage, time-worn look is simple if you start with the right paint. With Americana DecorChalky Finish paint, creating beautiful home decor and furniture pieces does not require skills or hours of training. Make store-bought pieces or flea market finds look like they came from a European estate sale or a French countryside cottage by using Americana Decor Chalky Finish paint.Ultra-matte sheen that can be quickly customized with different waxes or varnishes that delivers a smooth, soft finish every timeOne coat coverage over most sealed surfaces and base colors - one can covers up to 120 sq. ft.Cleans easily with soap and waterNo need to use primer - reliable adhesion to most surfaces without sanding or using a layer of primerFinal packaging my varyClick Here to learn more about Chalky Finish PaintChalky Finish is also available in the following colorsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT",DecoArt Americana Decor 16-oz. Whisper Chalky Finish,850.0,9
"White Designer Shelf Brackets offer a stylish alternative to typical shelf brackets. They feature a seamless white, vinyl cover that is placed over the bracket bases to hide the hardware and provide a clean, simple look.Weight capacity of 100 lbs. per pair of brackets (when mounted into wall studs)Durable steel constructionSupports shelving to display home decor itemsEasy installation1 bracket and 1 vinyl cover includedNeutral color that blends in with any home decor styleSupports shelves that are 6 to 12 in. deep",9.1 in. x 5.8 in. White Designer Shelf Bracket,1299.0,16
"This easy-to-assemble Decorative Wire Chrome Finish Commercial Shelving Unit from HDX provides storage space for any room and purpose including commercial, industrial and residential use. The 6-tier shelving unit is made of tubular steel and wires coated with a durable chrome finish. All shelf heights are easily adjustable, and the unit can be assembled without any tools. Each shelf holds up to 600 lbs. when evenly distributed and features a total unit weight capacity of 3600 lbs. for optimal use in kitchens, pantries, utility rooms, warehouses and garages.Each shelf supports 600 lbs. when evenly distributed; total unit weight capacity is 3600 lbs.No tools required for easy assemblyTubular steel construction with durable chrome finish offers solid support for a variety of heavy-duty itemsPerfect storage solution for commercial or residential use in any room, office or jobsite6 fully adjustable shelves and legs help stabilize unit on uneven flooringNSF-certified for food storageNote: Product may vary by store.",HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit,4200.0,8
"Use the Marshalltown Masonry Brush for a wide variety of tasks, including your concrete, cement and masonry needs. The white Tampico fiber bristles are set in a hardwood block.Bristles are made of white Tampico fiberBristles are set in a hardwood blockUse for your concrete, cement and masonry needsUse for a variety of other tasks",Marshalltown Masonry Brush,450.0,20
"This 12 in. Single Track Bracket from Rubbermaid mounts to single track uprights. It can be moved up or down to suit your unique storage and display needs. Coated with durable epoxy paint, the bracket has a smooth finish and is resistant to chipping or peeling. No tools are needed to attach the bracket; it fastens directly into the upright.No installation tools required; bracket attaches to your wall through a single track uprightDurable epoxy paint coating resists chipping and peelingDesigned to support medium- and light-duty shelvingCan be moved up or down along the upright to best meet your storage or display needs",Rubbermaid 12 in. D Single Track Bracket,425.0,4
The Husky 9-Pocket Maintenance Pouch has multiple pockets and loops to hold tools and accessories. This durable little pouch will fit comfortably on most 2 in. wide work belts. It's ideal for doing small projects around your home or on a job site.3 main pockets and 6 tool pockets4 interior elastic loops for toolsT-chain tape holderMetal tape measure clipTool snapNote: product may vary by store,Husky 9-Pocket Maintenance Pouch,1200.0,24
"RIDGID presents the X4 18-Volt 1/2 in. Impact Wrench as a console item. With console-only tools, you have the option to add on to existing kits to create your own. This compact and lightweight cordless tool delivers 325 ft. lbs. of torque to power through the most demanding applications and comes loaded with features such as exclusive grip light technology that engages the LED light simply by holding the tool, innovative Hex Grip for maximum comfort and a Tri-Beam LED for optimum illumination. Backed by RIDGID's lifetime service agreement, you can count on free batteries, free parts and free service for the entire life of your tool.Includes tool only to create your own kit; battery and charger sold separatelyHigh torque output produces 325 ft. lbs. for heavy-duty applicationsDie-cast gear box for increased durability and professional quality1/2 in. dent pin anvil makes it compatible with popular impact rated socketsHex Grip innovative micro-texture for secure grip and maximum user comfortGrip light engages Tri-Beam LED light independently of trigger to illuminate work spaceCordless design enables easy use and portability",RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only),8500.0,26
"The Emberglow Vent-Free Gas Stove helps add warmth and ambiance to your home. The stove can heat up to 1,000 sq. ft. of space and features a thermostat control for easy temperature maintenance. The stove's oxygen depletion sensor and automatic shut-off feature help provide safety and its black metal casing can help add an enhanced look to your decor.Automatic thermostat can be set to the desired heat output and the system will automatically maintain that temperatureUnit has dual fuel technology which means it can be operated using natural gas or liquid propane99.9% energy efficient, the vent free design keeps 100% of the heat in your homeHand painted logs give this unit the most realistic look of a natural fireDual burner provides real yellow flames throughout the logsEquipped with a safety oxygen depletion sensor (O.D.S.) and automatic shut-offNo electricity required, great for use as supplemental heat during power outages","Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat",39900.0,14
"Update the look of your bathroom with help from the Cadet 3 FloWise No-Tools 2-piece High-Efficiency Round Front Toilet in Bone. The toilet offers a WaterSense-certified design that uses 1.28 GPF to help conserve water. Its EverClean surface helps inhibit the growth of stain- and odor-causing bacteria, mold and mildew.2-piece design features a separate tank and bowlRound front bowl for fit in smaller bathroomsWaterSense certified high-efficiency design uses 1.28 GPF for significant water savingsConstructed with durable vitreous china for cleaner, long-lasting useCadet 3 flushing system with 2-1/8 in. glazed trap way and oversized 3 in. flush valve for a powerful flushIncludes plastic seat and cover with EverClean surface, wax ring for easy installationEverClean surface helps inhibit growth of stain and odor-causing bacteria, mold and mildew5-year warrantyFeatures:Note: product may vary by store",American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone,18995.0,23
"The Grayson collection from Thomasville brings a customized hardware solution to your kitchen, bath and rooms throughout your home. Shown here in our Oil Rubbed Bronze finish, additional pieces in the Murphy collection are available at homedepot.com for a mix and match approach. Combine knobs and pulls for a truly personalized result on cabinetry and furniture, a quick and affordable way to a new look. Inspired by over a century of design expertise, Thomasville Hardware is crafted of durable, plated zinc, then hand-polished for quality and beauty guaranteed.2-1/2 in. center to center measurement, 4-13/32 in. overall lengthOil rubbed bronze finishFor use on cabinetry and furnitureScrews includedGrayson collection is available in vintage brass, oil rubbed bronze, satin nickel and aged bronze finishesThe Grayson collection also includes 5 in. pull and knob",Sumner Street Home Hardware Grayson 2-1/2 in. Oil Rubbed Bronze Cup Pull,800.0,11
"The HDX 6 ft. long Heavy Duty Steel Green Painted T-Post is perfect for supporting varying height and weight fences in farm or residential applications. The post is manufactured from recycled railroad steel and weighs 1.25 lbs. per linear foot. The post is designed in a T configuration, has studs every 2-1/2 inches to help support the fence, and includes a 7 in. long by 3 in. wide steel anchor plate to stabilize the post in the ground.Manufactured from rail steelWeighs 1.25 lbs. per lin. ft., not including the anchor plateCoated with rust-resistant green enamel paint for corrosion protectionShould be driven into the ground a minimum of 12 in.Use Fence Post Driver or sledge hammer to drive post into the groundGalvanized Steel T-Post Clips (sold separately) can be used to attach the fence fabricPerfect for heavier steel fences up to 5 ft. highBuying Guide:",HDX 6 ft. Heavy Duty Steel Green Painted T-Post,450.0,17
"This expanded sheet metal can be altered in shape and cut with proper equipment. Commonly used for small metal repair, duct work, patching, and flashing. Expanded angle comes with several different size mesh openings. Available in various sizes and materials.California residents: see&nbsp;Proposition 65 information1-pieceSteel constructionPlain finish24 in. x 12 in.",Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet,950.0,7
"Henry 587 Durabrite white elastomeric roof coating is a premium, high solids formula offering better weather protection, solar reflectivity and longevity than economy grade reflective roof coatings. Cured coating forms a permeable membrane which prevents liquid infiltration, but allows moisture vapor to vent, or breathe out of underlying substrate. As an ENERGY STAR partner, Henry has determined that this product meets the ENERGY STAR guidelines for energy efficiency.California residents: see&nbsp;Proposition 65 informationWhite surface reflects sun rays and releases 91% of the sun's heat for energy efficiencyResists ponding waterRecommended for use on metal roofs, weathered, previously-coated white and aluminum roof surfaces, smooth-surface built-up roofs, stucco, masonry parapet walls and more10-year warrantyElastomastic to expand and contract without crackingEnergy Star approved",Henry 587 4.75 Gal. White Roof Coating,8500.0,14
"Sit back and relax in comfort and style in these Beverly Patio Dining Armchairs with Bare Cushions (2-Pack) from Hampton Bay. Perfect for a deck, porch, patio or sunroom, the chairs are made with a powder-coated, sturdy and durable rust-resistant, steel-reinforced frame with all-weather resin wicker to help withstand outdoor elements. Inspired by vintage styles, they feature a woven multi-brown wicker finish and include bare seat cushions that can be customized with slipcovers through the Choose Your Own Color option.Part of the Choose Your Own Color program, slipcovers for cushions must be purchased separatelyAll-weather resin wicker crafts a versatile piece for indoor and outdoor useFashioned with a multi-brown wicker finish for a vintage aesthetic in your outdoor living areaNo assembly requiredAll components packed in 1 boxCoordinates with other brown wicker items in the Beverly collection (sold separately)2-year limited frame, fabric and weave warrantyPowder-coated steel frame is durable and rust-resistantMore options available, CLICK HERE to Choose Your Own ColorCustomizable items cannot be returned. Click here to review our return policy for additional information regarding returns<br",Hampton Bay Beverly Patio Dining Arm Chairs with Custom Cushion (2-Pack),14999.0,5
"Soak in the outdoors in the Spring Haven Brown Wicker Patio Lounge Chair from Hampton Bay. It's ideal for your patio, porch or sunroom, as it combines a sturdy rust-resistant steel frame with all-weather resin for season after season of use. It comes with Sky Blue woven olefin cushions. Decorate your space with this chair and other pieces in the Spring Haven Collection for a polished look.Multi-tone brown wicker for a luxurious lookPowder-coated, rust-resistant and reinforced steel frame for durabilityAll-weather resin wicker for withstanding the outdoor elementsSky blue woven olefin fabric cushions included for both comfort and convenienceEasy to assembleWeight capacity of 300 lbs.Matches other items in Spring Haven collection (sold separately) for a full lookMore options available, CLICK HERE to create your own collection""",Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions,1499.0,4
The 60 in. x 150 ft. 10/10 Remesh provides expansion and contraction reinforcement to add strength when pouring Concrete pads. It is made from ASTM A615 material and covers up to 750 sq. ft. per roll.Provides expansion and contraction reinforcement for concreteUsed when pouring concrete pads for added strengthEasier to use than rebarAstm A615 material750 sq. ft. Per rollNote: Product may vary by store.,60 in. x 150 ft. 10/10 Remesh,1200.0,28
"Stanley Doors helps you create an entrance that is an extension of your unique personality. Our products offer lasting, elegant entryways with an emphasis on style, security and, energy efficiency. The Stanley Door Chatham 3/4 Lite 1-Panel Painted Steel Entry Door, adorned with a contemporary decorative glass pattern, exudes elegance and will transform your home's entrance. In addition to the beauty of our doors, you could be sure that once installed, they are simple to maintain and care for and are backed by Stanley's limited lifetime warranty to boot. Stanley Doors are dedicated to manufacturing the highest value products. We are continuously developing and innovating products that will serve you for many years.Polyurethane injected for higher insulation value, strengthening the door from the inside out24-Gauge, hot dipped galvanized steel adds strength to your door and prevents rusting for a lifetimeFinger-jointed kiln dried pine prevents warping and rotting for long-lasting performanceMagnetic weatherstripping seals door from all elements for added protectionStraight-line design provides a modern aestheticInspired by the great architectural traditions of the 20th century, this series offers you a classic look for your home's entranceSTANCOAT state-of-the-art thermo hardened finish for long-lasting protection is virtually maintenance-free and enhances the look of your entrance door, stanley textured coating is your assurance of quality and superior performance whatever climatic conditions existDouble bore allows easy installation of lock and deadbolt of your choiceEnergy efficient and Energy Star certified to save on heatingFrom outside, opens toward the inside of the home with the hinges on the right",Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door,75000.0,23
